Date,Maine,New Hampshire,Vermont,Massachusetts,Connecticut,Rhode Island,,,,,,,,,
1/1/23,0.104089219,0.100371747,0.048327138,0.449814126,0.230483271,0.066914498,,,,,,,,,
1/2/23,0.1,0.096666667,0.046666667,0.453333333,0.236666667,0.066666667,,,,,,,,,
1/3/23,0.101226994,0.098159509,0.04601227,0.460122699,0.23006135,0.064417178,,,,,,,,,
1/4/23,0.102236422,0.099041534,0.047923323,0.460063898,0.226837061,0.063897764,,,,,,,,,
1/5/23,0.105590062,0.099378882,0.046583851,0.456521739,0.226708075,0.065217391,,,,,,,,,
1/6/23,0.103343465,0.097264438,0.045592705,0.462006079,0.227963526,0.063829787,,,,,,,,,
1/7/23,0.103225806,0.096774194,0.048387097,0.45483871,0.232258065,0.064516129,,,,,,,,,
1/8/23,0.104761905,0.101587302,0.047619048,0.450793651,0.231746032,0.063492063,,,,,,,,,
1/9/23,0.100890208,0.100890208,0.050445104,0.451038576,0.231454006,0.065281899,,,,,,,,,
1/10/23,0.101492537,0.098507463,0.047761194,0.450746269,0.235820896,0.065671642,,,,,,,,,
1/11/23,0.105263158,0.102339181,0.046783626,0.453216374,0.228070175,0.064327485,,,,,,,,,
1/12/23,0.103746398,0.100864553,0.048991354,0.452449568,0.23054755,0.063400576,,,,,,,,,
1/13/23,0.102236422,0.099041534,0.051118211,0.450479233,0.233226837,0.063897764,,,,,,,,,
1/14/23,0.103448276,0.097178683,0.053291536,0.448275862,0.235109718,0.062695925,,,,,,,,,
1/15/23,0.104938272,0.095679012,0.049382716,0.453703704,0.231481481,0.064814815,,,,,,,,,
1/16/23,0.101449275,0.098550725,0.052173913,0.455072464,0.228985507,0.063768116,,,,,,,,,
1/17/23,0.101226994,0.098159509,0.04601227,0.45398773,0.236196319,0.064417178,,,,,,,,,
1/18/23,0.10443038,0.098101266,0.050632911,0.452531646,0.231012658,0.063291139,,,,,,,,,
1/19/23,0.1,0.096969697,0.048484848,0.454545455,0.236363636,0.063636364,,,,,,,,,
1/20/23,0.104477612,0.098507463,0.047761194,0.456716418,0.229850746,0.062686567,,,,,,,,,
1/21/23,0.104938272,0.095679012,0.049382716,0.456790123,0.228395062,0.064814815,,,,,,,,,
1/22/23,0.111111111,0.098765432,0.049382716,0.453703704,0.225308642,0.061728395,,,,,,,,,
1/23/23,0.102040816,0.093294461,0.049562682,0.460641399,0.2303207,0.064139942,,,,,,,,,
1/24/23,0.1,0.094117647,0.05,0.461764706,0.229411765,0.064705882,,,,,,,,,
1/25/23,0.102040816,0.096209913,0.049562682,0.454810496,0.233236152,0.064139942,,,,,,,,,
1/26/23,0.103975535,0.097859327,0.048929664,0.455657492,0.229357798,0.064220183,,,,,,,,,
1/27/23,0.104294479,0.098159509,0.052147239,0.450920245,0.233128834,0.061349693,,,,,,,,,
1/28/23,0.108552632,0.098684211,0.052631579,0.447368421,0.230263158,0.0625,,,,,,,,,
1/29/23,0.108552632,0.098684211,0.052631579,0.447368421,0.230263158,0.0625,,,,,,,,,
1/30/23,0.107936508,0.098412698,0.053968254,0.447619048,0.228571429,0.063492063,,,,,,,,,
1/31/23,0.105105105,0.099099099,0.051051051,0.453453453,0.228228228,0.063063063,,,,,,,,,
2/1/23,0.106321839,0.100574713,0.051724138,0.451149425,0.227011494,0.063218391,,,,,,,,,
2/2/23,0.105413105,0.0997151,0.051282051,0.447293447,0.233618234,0.062678063,,,,,,,,,
2/3/23,0.102902375,0.09762533,0.047493404,0.453825858,0.234828496,0.063324538,,,,,,,,,
2/4/23,0.101694915,0.0968523,0.043583535,0.462469734,0.232445521,0.062953995,,,,,,,,,
2/5/23,0.108187135,0.099415205,0.046783626,0.450292398,0.230994152,0.064327485,,,,,,,,,
2/6/23,0.105105105,0.099099099,0.048048048,0.453453453,0.231231231,0.063063063,,,,,,,,,
2/7/23,0.103550296,0.097633136,0.047337278,0.455621302,0.233727811,0.062130178,,,,,,,,,
2/8/23,0.102167183,0.099071207,0.049535604,0.455108359,0.229102167,0.06501548,,,,,,,,,
2/9/23,0.1,0.096969697,0.048484848,0.451515152,0.239393939,0.063636364,,,,,,,,,
2/10/23,0.104026846,0.100671141,0.05033557,0.453020134,0.228187919,0.063758389,,,,,,,,,
2/11/23,0.106164384,0.099315068,0.047945205,0.452054795,0.229452055,0.065068493,,,,,,,,,
2/12/23,0.104026846,0.097315436,0.043624161,0.453020134,0.238255034,0.063758389,,,,,,,,,
2/13/23,0.10543131,0.099041534,0.044728435,0.460063898,0.226837061,0.063897764,,,,,,,,,
2/14/23,0.105263158,0.101973684,0.042763158,0.457236842,0.226973684,0.065789474,,,,,,,,,
2/15/23,0.104575163,0.10130719,0.045751634,0.45751634,0.225490196,0.065359477,,,,,,,,,
2/16/23,0.102389078,0.102389078,0.04778157,0.453924915,0.228668942,0.064846416,,,,,,,,,
2/17/23,0.104918033,0.101639344,0.052459016,0.449180328,0.229508197,0.062295082,,,,,,,,,
2/18/23,0.106312292,0.099667774,0.046511628,0.451827243,0.23255814,0.063122924,,,,,,,,,
2/19/23,0.105084746,0.098305085,0.047457627,0.450847458,0.233898305,0.06440678,,,,,,,,,
2/20/23,0.105802048,0.102389078,0.051194539,0.443686007,0.232081911,0.064846416,,,,,,,,,
2/21/23,0.100946372,0.100946372,0.044164038,0.457413249,0.233438486,0.063091483,,,,,,,,,
2/22/23,0.097484277,0.100628931,0.047169811,0.452830189,0.238993711,0.062893082,,,,,,,,,
2/23/23,0.104956268,0.099125364,0.049562682,0.454810496,0.2303207,0.06122449,,,,,,,,,
